,Instruct,Cache Miss,Branch Miss,Cache R,Cache W,LL1 Data C,LL1 Instruct Cache,LLC,D TLB,Instruct Cache,Y
600,38354179,733018,75243,2129437,75243,3410452,1.40724E+14,83583,3410452,24248,0
601,14921280,1555320,191443,2607762,191443,6351643,9.464E+13,316246,6351643,69935,0
602,11000787,3503019,348923,2525799,348923,1109659,1.40724E+14,117637,1109619,11614,0
603,11000787,3503019,125742,22421016,125742,4186675,0,185994,4186675,45059,0
604,39143890,959945,110003,8443394,110003,5031800,1.40737E+14,132126,5031762,44462,0
605,67605245,1492004,183233,23741089,183233,1670172,9.48612E+13,108161,1670172,19588,0
606,4123005,3326161,370084,23151200,370084,4708007,1.40737E+14,230378,4708007,52276,0
607,4123005,3326161,123270,35888206,123270,4969008,0,242240,4969008,58231,0
608,37893708,2487983,255112,3314906,255112,3403815,1.40729E+14,203743,3403815,47743,0
609,6719365,1553481,165752,5470434,165752,21518327,9.48269E+13,469570,21518327,47487,0
610,33962873,1149844,132092,3698933,132092,2730529,1.40729E+14,149873,2730489,28140,0
611,33962873,1149844,153832,1693515,153832,2140383,0,186523,2140383,25868,0
612,4020691,1595109,155179,1970263,155179,2278706,1.40722E+14,143316,2278706,27463,0
613,13235986,1280309,131084,4441842,131084,3385274,9.40459E+13,192116,3385274,46729,0
614,44765348,2002605,222081,4772167,222081,3263628,1.40722E+14,102319,3263628,32940,0
615,44765348,2002605,437871,3440351,437871,21139293,0,539639,21139253,57162,0
616,27499573,2001580,207275,3818517,207275,5461806,1.40729E+14,221876,5461806,53872,0
617,22255918,2036473,204659,3216361,204659,4398896,9.40646E+13,124477,4401375,30308,0
618,2334742,1579125,177910,4069767,177910,1746084,1.40729E+14,135528,1746043,24390,0
619,2334742,1579125,459760,6400305,459760,20881283,0,546641,20881470,61162,0
620,40350467,2008114,227311,7523124,227311,4885860,1.40722E+14,109180,4885820,42158,0
621,79082616,1659786,182537,1950986,182537,5029515,9.4693E+13,210672,5029515,58269,0
622,74073598,2187627,249933,3143940,249933,2891314,1.40722E+14,219036,2891314,34572,0
623,74073598,2187627,199012,19624185,199012,1587029,0,143515,1587029,20016,0
624,32371965,2607770,266050,6784078,266050,1821991,1.40734E+14,96014,1821991,19225,0
625,17909151,2175923,229115,6960209,229115,6525323,9.44188E+13,192626,6525323,57509,0
626,19351827,837973,108353,1442377093,108353,3966292,1.40734E+14,229941,3966252,53588,0
627,19351827,837973,129887,23548246,129887,2921675,0,186719,2921675,32775,0
628,25619446,2697460,278739,3252028,278739,3785158,1.40728E+14,222152,3785118,47810,0
629,10525124,818566,96131,2478557,96131,3073913,9.48021E+13,188463,3073913,43298,0
630,23321127,1853937,189688,5196108,189688,4835280,1.40728E+14,163086,4835418,39434,0
631,23321127,1853937,197481,20371143,197481,4768362,0,144564,4769503,42642,0
632,8048332,1380966,149944,4973995,149944,4118343,1.40735E+14,126120,4118343,31626,0
633,34742721,1544481,158268,2060150,158268,15585054,9.46106E+13,596860,15585054,146760,0
634,14839057,2470879,393406,5498217,393406,18847328,1.40735E+14,488124,18847288,32417,0
635,14839057,2470879,261081,1104542,261081,2827929,0,191225,2827929,31590,0
